Date,Temp
01/5/1983,0.109
01/6/1983,0.118
01/7/1983,0.137
01/8/1983,0.176
01/9/1983,0.149
01/10/1983,0.093
01/11/1983,0.232
01/12/1983,0.078
01/1/1984,0.089
01/2/1984,0.013
01/3/1984,0.049
01/4/1984,-0.019
01/5/1984,0.065
01/6/1984,-0.016
01/7/1984,-0.024
01/8/1984,0.034
01/9/1984,0.025
01/10/1984,-0.035
01/11/1984,-0.123
01/12/1984,-0.282
01/1/1985,-0.001
01/2/1985,-0.155
01/3/1985,-0.032
01/4/1985,-0.042
01/5/1985,0.001
01/6/1985,-0.049
01/7/1985,-0.042
01/8/1985,0.013
01/9/1985,-0.035
01/10/1985,-0.008
01/11/1985,-0.093
01/12/1985,-0.002
01/1/1986,0.121
01/2/1986,0.065
01/3/1986,0.049
01/4/1986,0.045
01/5/1986,0.023
01/6/1986,0.055
01/7/1986,0.004
01/8/1986,-0.001
01/9/1986,0.016
01/10/1986,0.043
01/11/1986,-0.033
01/12/1986,0.022
01/1/1987,0.116
01/2/1987,0.266
01/3/1987,0.021
01/4/1987,0.084
01/5/1987,0.145
01/6/1987,0.121
01/7/1987,0.238
01/8/1987,0.219
01/9/1987,0.25
01/10/1987,0.174
01/11/1987,0.186
01/12/1987,0.314
01/1/1988,0.334
01/2/1988,0.189
01/3/1988,0.248
01/4/1988,0.224
01/5/1988,0.175
01/6/1988,0.2
01/7/1988,0.168
01/8/1988,0.154
01/9/1988,0.149
01/10/1988,0.12
01/11/1988,0.027
01/12/1988,0.106
01/1/1989,0.019
01/2/1989,0.094
01/3/1989,0.088
01/4/1989,0.083
01/5/1989,0.073
01/6/1989,0.094
01/7/1989,0.167
01/8/1989,0.168
01/9/1989,0.135
01/10/1989,0.145
01/11/1989,0.067
01/12/1989,0.181
01/1/1990,0.187
01/2/1990,0.242
01/3/1990,0.442
01/4/1990,0.285
01/5/1990,0.231
01/6/1990,0.233
01/7/1990,0.196
01/8/1990,0.227
01/9/1990,0.179
01/10/1990,0.271
01/11/1990,0.278
01/12/1990,0.199
01/1/1991,0.224
01/2/1991,0.272
01/3/1991,0.161
01/4/1991,0.299
01/5/1991,0.249
01/6/1991,0.269
01/7/1991,0.271
01/8/1991,0.225
01/9/1991,0.176
01/10/1991,0.133
01/11/1991,0.079
01/12/1991,0.084
01/1/1992,0.266
01/2/1992,0.25
01/3/1992,0.199
01/4/1992,0.132
01/5/1992,0.125
01/6/1992,0.118
01/7/1992,-0.008
01/8/1992,-0.007
01/9/1992,-0.062
01/10/1992,-0.072
01/11/1992,-0.097
01/12/1992,0.007
01/1/1993,0.204
01/2/1993,0.161
01/3/1993,0.202
01/4/1993,0.121
01/5/1993,0.158
01/6/1993,0.122
01/7/1993,0.088
01/8/1993,0.06
01/9/1993,0.013
01/10/1993,0.061
01/11/1993,-0.041
01/12/1993,0.111
01/1/1994,0.16
01/2/1994,-0.072
01/3/1994,0.176
01/4/1994,0.173
01/5/1994,0.218
01/6/1994,0.191
01/7/1994,0.141
01/8/1994,0.175
01/9/1994,0.156
01/10/1994,0.23
01/11/1994,0.248
01/12/1994,0.227
01/1/1995,0.349
01/2/1995,0.449
01/3/1995,0.286
01/4/1995,0.229
01/5/1995,0.176
01/6/1995,0.283
01/7/1995,0.276
01/8/1995,0.305
01/9/1995,0.21
01/10/1995,0.241
01/11/1995,0.266
01/12/1995,0.163
01/1/1996,0.069
01/2/1996,0.246
01/3/1996,0.13
01/4/1996,0.097
01/5/1996,0.177
01/6/1996,0.159
01/7/1996,0.177
01/8/1996,0.178
01/9/1996,0.093
01/10/1996,0.089
01/11/1996,0.077
01/12/1996,0.172
01/1/1997,0.156
01/2/1997,0.247
01/3/1997,0.262
01/4/1997,0.201
01/5/1997,0.254
01/6/1997,0.367
01/7/1997,0.372
01/8/1997,0.406
01/9/1997,0.457
01/10/1997,0.485
01/11/1997,0.449
01/12/1997,0.526
01/1/1998,0.486
01/2/1998,0.739
01/3/1998,0.52
01/4/1998,0.608
01/5/1998,0.57
01/6/1998,0.579
01/7/1998,0.651
01/8/1998,0.616
01/9/1998,0.4
01/10/1998,0.409
01/11/1998,0.342
01/12/1998,0.424
01/1/1999,0.366
01/2/1999,0.54
01/3/1999,0.29
01/4/1999,0.322
01/5/1999,0.248
01/6/1999,0.266
01/7/1999,0.282
01/8/1999,0.253
01/9/1999,0.274
01/10/1999,0.241
01/11/1999,0.223
01/12/1999,0.338
01/1/2000,0.212
01/2/2000,0.363
01/3/2000,0.334
01/4/2000,0.446
01/5/2000,0.271
01/6/2000,0.252
01/7/2000,0.261
01/8/2000,0.338
01/9/2000,0.309
01/10/2000,0.213
01/11/2000,0.159
01/12/2000,0.179
01/1/2001,0.329
01/2/2001,0.289
01/3/2001,0.475
01/4/2001,0.426
01/5/2001,0.399
01/6/2001,0.416
01/7/2001,0.452
01/8/2001,0.498
01/9/2001,0.405
01/10/2001,0.378
01/11/2001,0.491
01/12/2001,0.323
01/1/2002,0.568
01/2/2002,0.593
01/3/2002,0.586
01/4/2002,0.443
01/5/2002,0.432
01/6/2002,0.455
01/7/2002,0.462
01/8/2002,0.417
01/9/2002,0.413
01/10/2002,0.362
01/11/2002,0.397
01/12/2002,0.326
01/1/2003,0.514
01/2/2003,0.427
